,datebymonth,WeedCrimes
0,2015.06,5
1,2015.07,31
2,2015.08,36
3,2015.09,43
4,2015.10,58
5,2015.11,58
6,2015.12,69
7,2016.01,64
8,2016.02,67
9,2016.03,87
10,2016.04,68
11,2016.05,84
12,2016.06,98
13,2016.07,61
14,2016.08,55
15,2016.09,65
16,2016.10,57
17,2016.11,52
18,2016.12,34
19,2017.01,19
20,2017.02,20
21,2017.03,51
22,2017.04,33
23,2017.05,40
24,2017.06,23
25,2017.07,27
26,2017.08,38
27,2017.09,22
28,2017.10,47
29,2017.11,34
30,2017.12,32
31,2018.01,31
32,2018.02,36
33,2018.03,40
34,2018.04,43
35,2018.05,38
36,2018.06,37
37,2018.07,42
38,2018.08,48
39,2018.09,41
40,2018.10,36
41,2018.11,10
