,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,new_date,year,date,first_or_second_half_of_year,crime
13,I182090909,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,175,,2018-11-09 15:45:00,2018,11,Friday,15,Part Two,SOUTHAMPTON ST,42.33168201,-71.06798742,"(42.33168201, -71.06798742)",11,2018,2018.11,2018.2,Heroin
43,I182090872,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,426,,2018-11-09 15:47:00,2018,11,Friday,15,Part Two,RIVER ST,42.26871441,-71.09221139,"(42.26871441, -71.09221139)",11,2018,2018.11,2018.2,Heroin
356,I182090487,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,904,,2018-11-08 10:00:00,2018,11,Thursday,10,Part Two,HARRISON AVE,42.33048169,-71.0816673,"(42.33048169, -71.08166730)",11,2018,2018.11,2018.2,Heroin
527,I182090291,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C6,175,,2018-11-07 14:30:00,2018,11,Wednesday,14,Part Two,SOUTHAMPTON ST,42.33233682,-71.07129642,"(42.33233682, -71.07129642)",11,2018,2018.11,2018.2,Heroin
633,I182089891,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,B2,178,,2018-11-07 05:25:00,2018,11,Wednesday,5,Part Two,POMPEII ST,42.32969471,-71.0704441,"(42.32969471, -71.07044410)",11,2018,2018.11,2018.2,Heroin
707,I182089793,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A15,44,,2018-11-06 17:46:00,2018,11,Tuesday,17,Part Two,ELM ST,42.37984951,-71.06200407,"(42.37984951, -71.06200407)",11,2018,2018.11,2018.2,Heroin
711,I182089789,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,319,,2018-11-06 18:04:00,2018,11,Tuesday,18,Part Two,CHENEY ST,42.30896597,-71.08447123,"(42.30896597, -71.08447123)",11,2018,2018.11,2018.2,Heroin
908,I182089556,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D4,624,,2018-11-05 18:30:00,2018,11,Monday,18,Part Two,CHARLESGATE W,42.34837984,-71.09287028,"(42.34837984, -71.09287028)",11,2018,2018.11,2018.2,Heroin
932,I182089530,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,175,,2018-11-05 17:28:00,2018,11,Monday,17,Part Two,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)",11,2018,2018.11,2018.2,Heroin
972,I182089487,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,115,,2018-11-05 15:30:00,2018,11,Monday,15,Part Two,EAST ST,42.35166142,-71.05724609,"(42.35166142, -71.05724609)",11,2018,2018.11,2018.2,Heroin
