,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,new_date,year,date,first_or_second_half_of_year,crime
308,I182090545,1845,Drug Violation,DRUGS - POSS CLASS D,C6,220,,2018-11-08 11:45:00,2018,11,Thursday,11,Part Two,G ST,42.33285027,-71.04417249,"(42.33285027, -71.04417249)",11,2018,2018.11,2018.2,weed
564,I182090261,1845,Drug Violation,DRUGS - POSS CLASS D,B2,294,,2018-11-07 12:04:00,2018,11,Wednesday,12,Part Two,CIRCUIT ST,42.32410157,-71.08694241,"(42.32410157, -71.08694241)",11,2018,2018.11,2018.2,weed
951,I182089507,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A7,26,,2018-11-05 16:44:00,2018,11,Monday,16,Part Two,DECATUR ST,42.37242351,-71.03984515,"(42.37242351, -71.03984515)",11,2018,2018.11,2018.2,weed
1208,I182089221,1845,Drug Violation,DRUGS - POSS CLASS D,B3, ,,2018-11-04 16:41:00,2018,11,Sunday,16,Part Two,CUMMINS HWY,,,"(0.00000000, 0.00000000)",11,2018,2018.11,2018.2,weed
1423,I182088992,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,468,,2018-11-03 17:42:00,2018,11,Saturday,17,Part Two,BLUE HILL AVE,42.27842433,-71.09350045,"(42.27842433, -71.09350045)",11,2018,2018.11,2018.2,weed
1525,I182088878,1845,Drug Violation,DRUGS - POSS CLASS D,A1,111,,2018-11-03 12:30:00,2018,11,Saturday,12,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",11,2018,2018.11,2018.2,weed
1526,I182088878,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-11-03 12:30:00,2018,11,Saturday,12,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",11,2018,2018.11,2018.2,weed
1732,I182088662,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A7,26,,2018-11-02 17:29:00,2018,11,Friday,17,Part Two,BORDER ST,42.38198241,-71.04033333,"(42.38198241, -71.04033333)",11,2018,2018.11,2018.2,weed
1813,I182088570,1845,Drug Violation,DRUGS - POSS CLASS D,B2,313,,2018-11-02 13:52:00,2018,11,Friday,13,Part Two,TOWNSEND ST,42.31666791,-71.08401705,"(42.31666791, -71.08401705)",11,2018,2018.11,2018.2,weed
1855,I182088526,1845,Drug Violation,DRUGS - POSS CLASS D,E13,573,,2018-11-02 08:30:00,2018,11,Friday,8,Part Two,MCBRIDE ST,42.30581531,-71.109627,"(42.30581531, -71.10962700)",11,2018,2018.11,2018.2,weed
2916,I182087406,1845,Drug Violation,DRUGS - POSS CLASS D,B3,428,,2018-10-29 17:20:00,2018,10,Monday,17,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)",10,2018,2018.10,2018.2,weed
2917,I182087406,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,428,,2018-10-29 17:20:00,2018,10,Monday,17,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)",10,2018,2018.10,2018.2,weed
4132,I182086034,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,382,,2018-10-24 19:36:00,2018,10,Wednesday,19,Part Two,GALLIVAN BLVD,42.28262406,-71.05532964,"(42.28262406, -71.05532964)",10,2018,2018.10,2018.2,weed
4133,I182086034,1845,Drug Violation,DRUGS - POSS CLASS D,C11,382,,2018-10-24 19:36:00,2018,10,Wednesday,19,Part Two,GALLIVAN BLVD,42.28262406,-71.05532964,"(42.28262406, -71.05532964)",10,2018,2018.10,2018.2,weed
4212,I182085953,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,362,,2018-10-24 14:18:00,2018,10,Wednesday,14,Part Two,LYNDHURST ST,42.29290563,-71.06955795,"(42.29290563, -71.06955795)",10,2018,2018.10,2018.2,weed
4213,I182085953,1845,Drug Violation,DRUGS - POSS CLASS D,C11,362,,2018-10-24 14:18:00,2018,10,Wednesday,14,Part Two,LYNDHURST ST,42.29290563,-71.06955795,"(42.29290563, -71.06955795)",10,2018,2018.10,2018.2,weed
4746,I182085381,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18,522,,2018-10-22 18:34:00,2018,10,Monday,18,Part Two,HYDE PARK AVE,42.2518944,-71.1253531,"(42.25189440, -71.12535310)",10,2018,2018.10,2018.2,weed
5202,I182084890,1845,Drug Violation,DRUGS - POSS CLASS D,A7,27,,2018-10-20 19:40:00,2018,10,Saturday,19,Part Two,SUMNER ST,42.36967378,-71.04155054,"(42.36967378, -71.04155054)",10,2018,2018.10,2018.2,weed
5376,I182084715,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,431,,2018-10-20 02:38:00,2018,10,Saturday,2,Part Two,BLUE HILL AVE,42.28863337,-71.08990388,"(42.28863337, -71.08990388)",10,2018,2018.10,2018.2,weed
5723,I182084335,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13, ,,2018-10-18 18:45:00,2018,10,Thursday,18,Part Two,SCHOOL ST,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
5768,I182084296,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-10-18 17:08:00,2018,10,Thursday,17,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",10,2018,2018.10,2018.2,weed
5819,I182084235,1845,Drug Violation,DRUGS - POSS CLASS D,E5,549,,2018-10-18 14:49:00,2018,10,Thursday,14,Part Two,GROVE ST,42.26022909,-71.15680185,"(42.26022909, -71.15680185)",10,2018,2018.10,2018.2,weed
6024,I182084016,1845,Drug Violation,DRUGS - POSS CLASS D,E18,483,,2018-10-17 16:47:00,2018,10,Wednesday,16,Part Two,RIVER ST,42.26367027,-71.10192715,"(42.26367027, -71.10192715)",10,2018,2018.10,2018.2,weed
6340,I182083673,1845,Drug Violation,DRUGS - POSS CLASS D,B2,266,,2018-10-16 12:45:00,2018,10,Tuesday,12,Part Two,MALCOLM X BLVD,42.33123776,-71.09140736,"(42.33123776, -71.09140736)",10,2018,2018.10,2018.2,weed
6370,I182083640,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3, ,,2018-10-16 13:20:00,2018,10,Tuesday,13,Part Two,CUMMINS HWY,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
